,series_id,date_index,actuals
0,N1679,01/10/1984,8000
1,N1680,01/10/1984,4370
2,N1681,01/10/1984,6360
3,N1682,01/10/1984,4640
4,N1683,01/10/1984,3140
5,N1684,01/10/1984,6000
6,N1685,01/10/1984,3930
7,N1686,01/10/1984,6440
8,N1687,01/10/1984,5580
9,N1688,01/10/1984,8160
10,N1689,01/10/1984,5600
11,N1690,01/10/1984,3820
12,N1691,01/10/1984,4540
13,N1692,01/10/1984,4300
14,N1693,01/10/1984,5800
15,N1694,01/10/1984,4640
16,N1695,01/10/1984,7850
17,N1696,01/10/1984,3800
18,N1697,01/10/1984,4540
19,N1698,01/10/1984,3000
20,N1699,01/10/1984,4700
21,N1700,01/10/1984,4620
22,N1701,01/10/1984,5684
23,N1702,01/10/1984,3404
24,N1703,01/10/1984,3358
25,N1704,01/10/1984,7700
26,N1705,01/10/1984,892
27,N1706,01/10/1984,3860
28,N1707,01/10/1984,9400
29,N1708,01/10/1984,2220
30,N1709,01/10/1984,1530
31,N1710,01/10/1984,2700
32,N1711,01/10/1984,2980
33,N1712,01/10/1984,3440
34,N1713,01/10/1984,4260
35,N1714,01/10/1984,1840
36,N1715,01/10/1984,1435
37,N1716,01/10/1984,4580
38,N1717,01/10/1984,3240
39,N1718,01/10/1984,1350
40,N1719,01/10/1984,3320
41,N1720,01/10/1984,5700
42,N1721,01/10/1984,5720
43,N1722,01/10/1984,6050
44,N1723,01/10/1984,4060
45,N1724,01/10/1984,4520
46,N1725,01/10/1984,3740
47,N1726,01/10/1984,4580
48,N1727,01/10/1984,2880
49,N1728,01/10/1984,4980
50,N1729,01/10/1984,4220
51,N1730,01/10/1984,5610
52,N1731,01/10/1984,3370
53,N1732,01/10/1984,6710
54,N1733,01/10/1984,4160
55,N1734,01/10/1984,4750
56,N1735,01/10/1984,3450
57,N1736,01/10/1984,4400
58,N1737,01/10/1984,4510
59,N1738,01/10/1984,7400
60,N1739,01/10/1984,4065
61,N1740,01/10/1984,4068
62,N1741,01/10/1984,5160
63,N1742,01/10/1984,6310
64,N1743,01/10/1984,5240
65,N1744,01/10/1984,4520
66,N1745,01/10/1984,4710
67,N1746,01/10/1984,8320
68,N1747,01/10/1984,7440
69,N1748,01/10/1984,5110
70,N1749,01/10/1984,3275
71,N1750,01/10/1984,4160
72,N1751,01/10/1984,3480
73,N1752,01/10/1984,3400
74,N1753,01/10/1984,6560
75,N1754,01/10/1984,3740
76,N1755,01/10/1984,3260
77,N1756,01/10/1984,3740
78,N1757,01/10/1984,4440
79,N1758,01/10/1984,7100
80,N1759,01/10/1984,6700
81,N1760,01/10/1984,7020
82,N1761,01/10/1984,7360
83,N1762,01/10/1984,4980
84,N1763,01/10/1984,5240
85,N1764,01/10/1984,5060
86,N1765,01/10/1984,13440
87,N1766,01/10/1984,3940
88,N1767,01/10/1984,1840
89,N1768,01/10/1984,4020
90,N1769,01/10/1984,5820
91,N1770,01/10/1984,3520
92,N1771,01/10/1984,6440
93,N1772,01/10/1984,7860
94,N1773,01/10/1984,7100
95,N1774,01/10/1984,4520
96,N1775,01/10/1984,4880
97,N1776,01/10/1984,4955
98,N1777,01/10/1984,5370
99,N1778,01/10/1984,4390
100,N1779,01/10/1984,5690
101,N1780,01/10/1984,2925
102,N1781,01/10/1984,2360
103,N1782,01/10/1984,3670
104,N1783,01/10/1984,6055
105,N1784,01/10/1984,2100
106,N1785,01/10/1984,2474
107,N1786,01/10/1984,2564
108,N1787,01/10/1984,3560
109,N1788,01/10/1984,6760
110,N1789,01/10/1984,2045
111,N1790,01/10/1984,500
112,N1791,01/10/1984,894
113,N1792,01/10/1984,760
114,N1793,01/10/1984,1320
115,N1794,01/10/1984,910
116,N1795,01/10/1984,310
117,N1796,01/10/1984,754
118,N1797,01/10/1984,912
119,N1798,01/10/1984,3790
120,N1799,01/10/1984,512
121,N1800,01/10/1984,578
122,N1801,01/10/1984,400
123,N1802,01/10/1984,1195
124,N1803,01/10/1984,4920
125,N1804,01/10/1984,1390
126,N1805,01/10/1984,4210
127,N1806,01/10/1984,3045
128,N1807,01/10/1984,5640
129,N1808,01/10/1984,2280
130,N1809,01/10/1984,3650
131,N1810,01/10/1984,5920
132,N1811,01/10/1984,4090
133,N1812,01/10/1984,4620
134,N1813,01/10/1984,5140
135,N1814,01/10/1984,2370
136,N1815,01/10/1984,6560
137,N1816,01/10/1984,4870
138,N1817,01/10/1984,6480
139,N1818,01/10/1984,5350
140,N1819,01/10/1984,8740
141,N1820,01/10/1984,2690
142,N1821,01/10/1984,5280
143,N1822,01/10/1984,3740
144,N1823,01/10/1984,3420
145,N1824,01/10/1984,9240
146,N1825,01/10/1984,5660
147,N1826,01/10/1984,4660
148,N1827,01/10/1984,3900
149,N1828,01/10/1984,3820
150,N1829,01/10/1984,1360
151,N1830,01/10/1984,6000
152,N1831,01/10/1984,3475
153,N1832,01/10/1984,3060
154,N1833,01/10/1984,1070
155,N1834,01/10/1984,335
156,N1835,01/10/1984,2040
157,N1836,01/10/1984,414
158,N1837,01/10/1984,450
159,N1838,01/10/1984,2920
160,N1839,01/10/1984,285
161,N1840,01/10/1984,840
162,N1841,01/10/1984,1100
163,N1842,01/10/1984,6580
164,N1843,01/10/1984,2250
165,N1844,01/10/1984,5140
166,N1845,01/10/1984,6860
167,N1846,01/10/1984,4295
168,N1847,01/10/1984,4560
169,N1848,01/10/1984,3980
170,N1849,01/10/1984,8060
171,N1850,01/10/1984,4180
172,N1851,01/10/1984,4840
173,N1852,01/10/1984,5700
174,N1853,01/10/1984,5030
175,N1854,01/10/1984,5480
176,N1855,01/10/1984,6800
177,N1856,01/10/1984,3660
178,N1857,01/10/1984,2770
179,N1858,01/10/1984,5760
180,N1859,01/10/1984,6160
181,N1860,01/10/1984,4080
182,N1861,01/10/1984,4210
183,N1862,01/10/1984,3430
184,N1863,01/10/1984,4260
185,N1864,01/10/1984,6900
186,N1865,01/10/1984,5260
187,N1866,01/10/1984,3140
188,N1867,01/10/1984,2860
189,N1868,01/10/1984,5120
190,N1869,01/10/1984,6440
191,N1870,01/10/1984,4480
192,N1871,01/10/1984,6580
193,N1872,01/10/1984,5470
194,N1873,01/10/1984,4740
195,N1874,01/10/1984,8020
196,N1875,01/10/1984,2710
197,N1679,01/11/1984,5120
198,N1680,01/11/1984,3710
199,N1681,01/11/1984,3460
200,N1682,01/11/1984,4460
201,N1683,01/11/1984,3030
202,N1684,01/11/1984,4640
203,N1685,01/11/1984,2570
204,N1686,01/11/1984,5080
205,N1687,01/11/1984,3760
206,N1688,01/11/1984,6540
207,N1689,01/11/1984,4740
208,N1690,01/11/1984,3320
209,N1691,01/11/1984,3080
210,N1692,01/11/1984,1680
211,N1693,01/11/1984,3920
212,N1694,01/11/1984,3300
213,N1695,01/11/1984,6800
214,N1696,01/11/1984,1650
215,N1697,01/11/1984,2500
216,N1698,01/11/1984,2230
217,N1699,01/11/1984,3000
218,N1700,01/11/1984,6315
219,N1701,01/11/1984,6100
220,N1702,01/11/1984,3425
221,N1703,01/11/1984,4120
222,N1704,01/11/1984,5220
223,N1705,01/11/1984,2308
224,N1706,01/11/1984,2400
225,N1707,01/11/1984,8250
226,N1708,01/11/1984,2120
227,N1709,01/11/1984,1520
228,N1710,01/11/1984,2120
229,N1711,01/11/1984,2930
230,N1712,01/11/1984,3620
231,N1713,01/11/1984,4240
232,N1714,01/11/1984,1720
233,N1715,01/11/1984,1250
234,N1716,01/11/1984,4040
235,N1717,01/11/1984,2560
